Evidence_ID,Cost_Ownership_Line_ID,Project_ID,Activity_ID,Reporting_Month,Evidence_Date,Measurement_Method,Evidence_Type,Incremental_Earned_Pct,Cumulative_Completion_Pct,Accepted_Quantity_Units,Quantity_Basis,Earned_Value_USD,Source
EVID-CL0014-2025-07,CL0014,P01,P01-A8,2025-07,2025-07-31,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,6,6,6,SYNTHETIC 100-unit progress index; not a field measurement,19180.80,SYNTHETIC_SCENARIO_V1
EVID-CL0014-2025-08,CL0014,P01,P01-A8,2025-08,2025-08-31,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,47,53,53,SYNTHETIC 100-unit progress index; not a field measurement,150249.60,SYNTHETIC_SCENARIO_V1
EVID-CL0014-2025-09,CL0014,P01,P01-A8,2025-09,2025-09-30,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,47,100,100,SYNTHETIC 100-unit progress index; not a field measurement,150249.60,SYNTHETIC_SCENARIO_V1
EVID-CL0015-2025-11,CL0015,P01,P01-A15,2025-11,2025-11-30,FINAL_GATE,SYNTHETIC_ACCEPTANCE_RECORD,100,100,,,639360.00,SYNTHETIC_SCENARIO_V1
EVID-CL0016-2025-08,CL0016,P01,P01-A9,2025-08,2025-08-31,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,60,60,60,SYNTHETIC 100-unit progress index; not a field measurement,255744.00,SYNTHETIC_SCENARIO_V1
EVID-CL0016-2025-09,CL0016,P01,P01-A9,2025-09,2025-09-30,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,40,100,100,SYNTHETIC 100-unit progress index; not a field measurement,170496.00,SYNTHETIC_SCENARIO_V1
EVID-CL0017-2025-08,CL0017,P01,P01-A9b,2025-08,2025-08-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,40,40,,,170496.00,SYNTHETIC_SCENARIO_V1
EVID-CL0017-2025-09,CL0017,P01,P01-A9b,2025-09,2025-09-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,60,100,,,255744.00,SYNTHETIC_SCENARIO_V1
EVID-CL0018-2025-10,CL0018,P01,P01-A10,2025-10,2025-10-31,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,60,60,60,SYNTHETIC 100-unit progress index; not a field measurement,383616.00,SYNTHETIC_SCENARIO_V1
EVID-CL0018-2025-11,CL0018,P01,P01-A10,2025-11,2025-11-30,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,40,100,100,SYNTHETIC 100-unit progress index; not a field measurement,255744.00,SYNTHETIC_SCENARIO_V1
EVID-CL0019-2025-10,CL0019,P01,P01-A11,2025-10,2025-10-31,FINAL_GATE,SYNTHETIC_ACCEPTANCE_RECORD,100,100,,,518000.00,SYNTHETIC_SCENARIO_V1
EVID-CL0020-2025-12,CL0020,P01,P01-A13,2025-12,2025-12-31,FINAL_GATE,SYNTHETIC_ACCEPTANCE_RECORD,100,100,,,144300.00,SYNTHETIC_SCENARIO_V1
EVID-CL0021-2025-12,CL0021,P01,P01-A14,2025-12,2025-12-31,FINAL_GATE,SYNTHETIC_ACCEPTANCE_RECORD,100,100,,,77700.00,SYNTHETIC_SCENARIO_V1
EVID-CL0022-2025-02,CL0022,P02,P02-A1,2025-02,2025-02-28,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,132000.00,SYNTHETIC_SCENARIO_V1
EVID-CL0023-2025-02,CL0023,P02,P02-A2,2025-02,2025-02-28,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,132000.00,SYNTHETIC_SCENARIO_V1
EVID-CL0024-2025-02,CL0024,P02,P02-A3,2025-02,2025-02-28,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,25,25,,,69300.00,SYNTHETIC_SCENARIO_V1
EVID-CL0024-2025-03,CL0024,P02,P02-A3,2025-03,2025-03-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,75,100,,,207900.00,SYNTHETIC_SCENARIO_V1
EVID-CL0025-2025-03,CL0025,P02,P02-A4,2025-03,2025-03-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,24,24,,,61776.00,SYNTHETIC_SCENARIO_V1
EVID-CL0025-2025-04,CL0025,P02,P02-A4,2025-04,2025-04-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,76,100,,,195624.00,SYNTHETIC_SCENARIO_V1
EVID-CL0026-2025-04,CL0026,P02,P02-A4b,2025-04,2025-04-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,15,15,,,38610.00,SYNTHETIC_SCENARIO_V1
EVID-CL0026-2025-05,CL0026,P02,P02-A4b,2025-05,2025-05-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,85,100,,,218790.00,SYNTHETIC_SCENARIO_V1
EVID-CL0027-2025-04,CL0027,P02,P02-A5,2025-04,2025-04-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,86,86,,,92708.00,SYNTHETIC_SCENARIO_V1
EVID-CL0027-2025-05,CL0027,P02,P02-A5,2025-05,2025-05-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,14,100,,,15092.00,SYNTHETIC_SCENARIO_V1
EVID-CL0028-2025-05,CL0028,P02,P02-A5b,2025-05,2025-05-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,107800.00,SYNTHETIC_SCENARIO_V1
EVID-CL0029-2025-06,CL0029,P02,P02-A6,2025-06,2025-06-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,400400.00,SYNTHETIC_SCENARIO_V1
EVID-CL0030-2025-02,CL0030,P02,P02-A6b,2025-02,2025-02-28,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,190080.00,SYNTHETIC_SCENARIO_V1
EVID-CL0031-2025-06,CL0031,P02,P02-A7a,2025-06,2025-06-30,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,100,100,,,190080.00,SYNTHETIC_SCENARIO_V1
EVID-CL0032-2025-06,CL0032,P02,P02-A8,2025-06,2025-06-30,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,100,100,100,SYNTHETIC 100-unit progress index; not a field measurement,190080.00,SYNTHETIC_SCENARIO_V1
EVID-CL0033-2025-07,CL0033,P02,P02-A7b,2025-07,2025-07-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,20,20,,,152064.00,SYNTHETIC_SCENARIO_V1
EVID-CL0033-2025-08,CL0033,P02,P02-A7b,2025-08,2025-08-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,30,50,,,228096.00,SYNTHETIC_SCENARIO_V1
EVID-CL0033-2025-10,CL0033,P02,P02-A7b,2025-10,2025-10-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,50,100,,,380160.00,SYNTHETIC_SCENARIO_V1
EVID-CL0034-2025-06,CL0034,P02,P02-A9,2025-06,2025-06-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,6,6,,,11404.80,SYNTHETIC_SCENARIO_V1
EVID-CL0034-2025-07,CL0034,P02,P02-A9,2025-07,2025-07-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,94,100,,,178675.20,SYNTHETIC_SCENARIO_V1
EVID-CL0035-2025-11,CL0035,P02,P02-A7c,2025-11,2025-11-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,190080.00,SYNTHETIC_SCENARIO_V1
EVID-CL0036-2025-11,CL0036,P02,P02-A7d,2025-11,2025-11-30,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,100,100,,,760320.00,SYNTHETIC_SCENARIO_V1
EVID-CL0037-2025-11,CL0037,P02,P02-A10,2025-11,2025-11-30,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,8,8,8,SYNTHETIC 100-unit progress index; not a field measurement,15206.40,SYNTHETIC_SCENARIO_V1
EVID-CL0037-2025-12,CL0037,P02,P02-A10,2025-12,2025-12-31,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,92,100,100,SYNTHETIC 100-unit progress index; not a field measurement,174873.60,SYNTHETIC_SCENARIO_V1
EVID-CL0038-2026-02,CL0038,P02,P02-A15b,2026-02,2026-02-28,FINAL_GATE,SYNTHETIC_ACCEPTANCE_RECORD,100,100,,,380160.00,SYNTHETIC_SCENARIO_V1
EVID-CL0039-2025-06,CL0039,P02,P02-A11a,2025-06,2025-06-30,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,100,100,,,221760.00,SYNTHETIC_SCENARIO_V1
EVID-CL0040-2025-02,CL0040,P02,P02-A6c,2025-02,2025-02-28,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,221760.00,SYNTHETIC_SCENARIO_V1
EVID-CL0041-2025-07,CL0041,P02,P02-A11b,2025-07,2025-07-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,20,20,,,177408.00,SYNTHETIC_SCENARIO_V1
EVID-CL0041-2025-08,CL0041,P02,P02-A11b,2025-08,2025-08-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,30,50,,,266112.00,SYNTHETIC_SCENARIO_V1
EVID-CL0041-2025-09,CL0041,P02,P02-A11b,2025-09,2025-09-30,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,30,80,,,266112.00,SYNTHETIC_SCENARIO_V1
EVID-CL0041-2025-10,CL0041,P02,P02-A11b,2025-10,2025-10-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,20,100,,,177408.00,SYNTHETIC_SCENARIO_V1
EVID-CL0042-2025-10,CL0042,P02,P02-A11c,2025-10,2025-10-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,221760.00,SYNTHETIC_SCENARIO_V1
EVID-CL0043-2025-11,CL0043,P02,P02-A11d,2025-11,2025-11-30,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,100,100,,,887040.00,SYNTHETIC_SCENARIO_V1
EVID-CL0044-2025-11,CL0044,P02,P02-A12,2025-11,2025-11-30,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,60,60,60,SYNTHETIC 100-unit progress index; not a field measurement,133056.00,SYNTHETIC_SCENARIO_V1
EVID-CL0044-2025-12,CL0044,P02,P02-A12,2025-12,2025-12-31,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,40,100,100,SYNTHETIC 100-unit progress index; not a field measurement,88704.00,SYNTHETIC_SCENARIO_V1
EVID-CL0045-2025-07,CL0045,P02,P02-A13,2025-07,2025-07-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,45,45,,,285120.00,SYNTHETIC_SCENARIO_V1
EVID-CL0045-2025-08,CL0045,P02,P02-A13,2025-08,2025-08-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,55,100,,,348480.00,SYNTHETIC_SCENARIO_V1
EVID-CL0046-2026-01,CL0046,P02,P02-A14,2026-01,2026-01-31,FINAL_GATE,SYNTHETIC_ACCEPTANCE_RECORD,100,100,,,264000.00,SYNTHETIC_SCENARIO_V1
EVID-CL0047-2026-01,CL0047,P02,P02-A15,2026-01,2026-01-31,FINAL_GATE,SYNTHETIC_ACCEPTANCE_RECORD,100,100,,,264000.00,SYNTHETIC_SCENARIO_V1
EVID-CL0048-2026-02,CL0048,P02,P02-A16,2026-02,2026-02-28,FINAL_GATE,SYNTHETIC_ACCEPTANCE_RECORD,100,100,,,171600.00,SYNTHETIC_SCENARIO_V1
EVID-CL0049-2026-02,CL0049,P02,P02-A17,2026-02,2026-02-28,FINAL_GATE,SYNTHETIC_ACCEPTANCE_RECORD,100,100,,,92400.00,SYNTHETIC_SCENARIO_V1
EVID-CL0050-2025-01,CL0050,P03,P03-A1,2025-01,2025-01-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,274050.00,SYNTHETIC_SCENARIO_V1
EVID-CL0051-2025-02,CL0051,P03,P03-A2,2025-02,2025-02-28,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,334950.00,SYNTHETIC_SCENARIO_V1
EVID-CL0052-2025-03,CL0052,P03,P03-A3,2025-03,2025-03-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,52,52,,,152006.40,SYNTHETIC_SCENARIO_V1
EVID-CL0052-2025-04,CL0052,P03,P03-A3,2025-04,2025-04-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,48,100,,,140313.60,SYNTHETIC_SCENARIO_V1
EVID-CL0053-2025-04,CL0053,P03,P03-A4,2025-04,2025-04-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,33,33,,,96465.60,SYNTHETIC_SCENARIO_V1
EVID-CL0053-2025-05,CL0053,P03,P03-A4,2025-05,2025-05-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,67,100,,,195854.40,SYNTHETIC_SCENARIO_V1
EVID-CL0054-2025-02,CL0054,P03,P03-A2b,2025-02,2025-02-28,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,138040.00,SYNTHETIC_SCENARIO_V1
EVID-CL0055-2025-05,CL0055,P03,P03-A5,2025-05,2025-05-31,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,33,33,33,SYNTHETIC 100-unit progress index; not a field measurement,136659.60,SYNTHETIC_SCENARIO_V1
EVID-CL0055-2025-06,CL0055,P03,P03-A5,2025-06,2025-06-30,WORKDAY_FALLBACK,SYNTHETIC_QUANTITY_ACCEPTANCE_100_UNITS,67,100,100,SYNTHETIC 100-unit progress index; not a field measurement,277460.40,SYNTHETIC_SCENARIO_V1
EVID-CL0056-2025-06,CL0056,P03,P03-A6,2025-06,2025-06-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,6,6,,,8282.40,SYNTHETIC_SCENARIO_V1
EVID-CL0056-2025-07,CL0056,P03,P03-A6,2025-07,2025-07-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,94,100,,,129757.60,SYNTHETIC_SCENARIO_V1
EVID-CL0057-2025-07,CL0057,P03,P03-A7,2025-07,2025-07-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,95,95,,,131138.00,SYNTHETIC_SCENARIO_V1
EVID-CL0057-2025-08,CL0057,P03,P03-A7,2025-08,2025-08-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,5,100,,,6902.00,SYNTHETIC_SCENARIO_V1
EVID-CL0058-2025-07,CL0058,P03,P03-A7b,2025-07,2025-07-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,3,3,,,4141.20,SYNTHETIC_SCENARIO_V1
EVID-CL0058-2025-08,CL0058,P03,P03-A7b,2025-08,2025-08-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,70,73,,,96628.00,SYNTHETIC_SCENARIO_V1
EVID-CL0058-2025-09,CL0058,P03,P03-A7b,2025-09,2025-09-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,27,100,,,37270.80,SYNTHETIC_SCENARIO_V1
EVID-CL0060-2025-07,CL0060,P03,P03-A8,2025-07,2025-07-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,45,45,,,111903.75,SYNTHETIC_SCENARIO_V1
EVID-CL0060-2025-08,CL0060,P03,P03-A8,2025-08,2025-08-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,55,100,,,136771.25,SYNTHETIC_SCENARIO_V1
EVID-CL0061-2025-08,CL0061,P03,P03-A9,2025-08,2025-08-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,66,66,,,164125.50,SYNTHETIC_SCENARIO_V1
EVID-CL0061-2025-09,CL0061,P03,P03-A9,2025-09,2025-09-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,34,100,,,84549.50,SYNTHETIC_SCENARIO_V1
EVID-CL0062-2025-09,CL0062,P03,P03-A9b,2025-09,2025-09-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,461825.00,SYNTHETIC_SCENARIO_V1
EVID-CL0063-2025-09,CL0063,P03,P03-A10,2025-09,2025-09-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,20,20,,,92365.00,SYNTHETIC_SCENARIO_V1
EVID-CL0063-2025-10,CL0063,P03,P03-A10,2025-10,2025-10-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,80,100,,,369460.00,SYNTHETIC_SCENARIO_V1
EVID-CL0064-2025-10,CL0064,P03,P03-A11,2025-10,2025-10-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,100,100,,,434659.00,SYNTHETIC_SCENARIO_V1
EVID-CL0065-2025-11,CL0065,P03,P03-A12,2025-11,2025-11-30,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,20,20,,,347727.00,SYNTHETIC_SCENARIO_V1
EVID-CL0065-2026-01,CL0065,P03,P03-A12,2026-01,2026-01-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,30,50,,,521590.50,SYNTHETIC_SCENARIO_V1
EVID-CL0065-2026-02,CL0065,P03,P03-A12,2026-02,2026-02-28,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,30,80,,,521590.50,SYNTHETIC_SCENARIO_V1
EVID-CL0065-2026-03,CL0065,P03,P03-A12,2026-03,2026-03-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,20,100,,,347727.00,SYNTHETIC_SCENARIO_V1
EVID-CL0066-2026-03,CL0066,P03,P03-A13,2026-03,2026-03-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,50,50,,,217329.50,SYNTHETIC_SCENARIO_V1
EVID-CL0070-2025-10,CL0070,P03,P03-A16,2025-10,2025-10-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,100,100,,,355250.00,SYNTHETIC_SCENARIO_V1
EVID-CL0071-2025-11,CL0071,P03,P03-A17,2025-11,2025-11-30,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,20,20,,,284200.00,SYNTHETIC_SCENARIO_V1
EVID-CL0071-2025-12,CL0071,P03,P03-A17,2025-12,2025-12-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,30,50,,,426300.00,SYNTHETIC_SCENARIO_V1
EVID-CL0071-2026-01,CL0071,P03,P03-A17,2026-01,2026-01-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,30,80,,,426300.00,SYNTHETIC_SCENARIO_V1
EVID-CL0071-2026-02,CL0071,P03,P03-A17,2026-02,2026-02-28,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,20,100,,,284200.00,SYNTHETIC_SCENARIO_V1
EVID-CL0072-2026-02,CL0072,P03,P03-A18,2026-02,2026-02-28,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,355250.00,SYNTHETIC_SCENARIO_V1
EVID-CL0073-2026-03,CL0073,P03,P03-A19,2026-03,2026-03-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,100,100,,,1421000.00,SYNTHETIC_SCENARIO_V1
EVID-CL0076-2025-10,CL0076,P03,P03-A21,2025-10,2025-10-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,100,100,,,153942.00,SYNTHETIC_SCENARIO_V1
EVID-CL0077-2025-11,CL0077,P03,P03-A22,2025-11,2025-11-30,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,50,50,,,307883.50,SYNTHETIC_SCENARIO_V1
EVID-CL0077-2025-12,CL0077,P03,P03-A22,2025-12,2025-12-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,50,100,,,307883.50,SYNTHETIC_SCENARIO_V1
EVID-CL0078-2026-01,CL0078,P03,P03-A23,2026-01,2026-01-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,100,100,,,615766.00,SYNTHETIC_SCENARIO_V1
EVID-CL0085-2025-06,CL0085,P04,P04-A1,2025-06,2025-06-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,82500.00,SYNTHETIC_SCENARIO_V1
EVID-CL0086-2025-06,CL0086,P04,P04-A2,2025-06,2025-06-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,40,40,,,33000.00,SYNTHETIC_SCENARIO_V1
EVID-CL0086-2025-07,CL0086,P04,P04-A2,2025-07,2025-07-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,60,100,,,49500.00,SYNTHETIC_SCENARIO_V1
