Relationship_ID,Project_ID,Predecessor_Activity_ID,Successor_Activity_ID,Relationship_Type,Lag_Days,Relationship_Scope,Recovery_Status
R0060,P02,P02-A10,P02-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0061,P02,P02-A12,P02-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0062,P02,P02-A13,P02-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0063,P02,P02-A14,P02-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0064,P02,P02-A15,P02-A15b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0066,P02,P02-A15,P02-A16,SS,5,Within Project,Reconstructed from approved narrative/logic
R0067,P02,P02-A16,P02-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0068,P02,P02-A15b,P02-A17,FF,0,Within Project,Reconstructed from approved narrative/logic
R0069,P02,P02-A17,P02-M5,FS,0,Within Project,Reconstructed from approved narrative/logic
R0070,P03,P03-A1,P03-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0071,P03,P03-A2,P03-A2b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0072,P03,P03-A2b,P03-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0073,P03,P03-A3,P03-A4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0074,P03,P03-A4,P03-A5,FS,0,Within Project,Reconstructed from approved narrative/logic
R0075,P03,P03-A5,P03-A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0076,P03,P03-A6,P03-A7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0077,P03,P03-A7,P03-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0078,P03,P03-A7,P03-A7b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0079,P03,P03-A7,P03-A8,SS,10,Within Project,Reconstructed from approved narrative/logic
R0080,P03,P03-A8,P03-A9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0081,P03,P03-A9,P03-A9b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0082,P03,P03-A9b,P03-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0083,P03,P03-A7b,P03-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0084,P03,P03-M2,P03-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0085,P03,P03-M2,P03-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0086,P03,P03-M2,P03-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0087,P03,P03-M2,P03-A21,FS,0,Within Project,Reconstructed from approved narrative/logic
R0088,P03,P03-A11,P03-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0089,P03,P03-A12,P03-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0090,P03,P03-A13,P03-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0091,P03,P03-A14,P03-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0092,P03,P03-A16,P03-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0093,P03,P03-A17,P03-A18,FS,0,Within Project,Reconstructed from approved narrative/logic
R0094,P03,P03-A18,P03-A19,FS,0,Within Project,Reconstructed from approved narrative/logic
R0095,P03,P03-A21,P03-A22,FS,0,Within Project,Reconstructed from approved narrative/logic
R0096,P03,P03-A22,P03-A23,FS,0,Within Project,Reconstructed from approved narrative/logic
R0097,P03,P03-A15,P03-A20,SS,20,Within Project,Reconstructed from approved narrative/logic
R0098,P03,P03-A19,P03-A20,FS,0,Within Project,Reconstructed from approved narrative/logic
R0099,P03,P03-A15,P03-A24,SS,30,Within Project,Reconstructed from approved narrative/logic
R0100,P03,P03-A23,P03-A24,FS,0,Within Project,Reconstructed from approved narrative/logic
R0101,P03,P03-A15,P03-A25,FS,0,Within Project,Reconstructed from approved narrative/logic
R0102,P03,P03-A20,P03-A25,FS,0,Within Project,Reconstructed from approved narrative/logic
R0103,P03,P03-A15,P03-A26,FS,0,Within Project,Reconstructed from approved narrative/logic
R0104,P03,P03-A25,P03-A26,FS,0,Within Project,Reconstructed from approved narrative/logic
R0105,P03,P03-A24,P03-A26,FS,0,Within Project,Reconstructed from approved narrative/logic
R0106,P03,P03-A26,P03-A27,FS,0,Within Project,Reconstructed from approved narrative/logic
R0107,P03,P03-A27,P03-A28,FS,0,Within Project,Reconstructed from approved narrative/logic
R0108,P03,P03-A27,P03-A29,SS,10,Within Project,Reconstructed from approved narrative/logic
R0109,P03,P03-A28,P03-A30,FS,0,Within Project,Reconstructed from approved narrative/logic
R0110,P03,P03-A29,P03-A30,FS,0,Within Project,Reconstructed from approved narrative/logic
R0111,P03,P03-A30,P03-A31,FS,0,Within Project,Reconstructed from approved narrative/logic
R0112,P03,P03-A30,P03-A32,FS,0,Within Project,Reconstructed from approved narrative/logic
R0113,P03,P03-A32,P03-A33,FS,0,Within Project,Reconstructed from approved narrative/logic
R0114,P03,P03-A31,P03-A33,FF,0,Within Project,Reconstructed from approved narrative/logic
R0115,P03,P03-A14,P03-M5,FS,0,Within Project,Reconstructed from approved narrative/logic
R0116,P03,P03-A26,P03-M6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0117,P03,P03-A27,P03-M7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0118,P03,P03-A28,P03-M8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0119,P03,P03-A30,P03-M9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0120,P03,P03-A30,P03-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0121,P03,P03-A33,P03-M4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0122,P03,P03-M1,P03-I-P03-01,FS,0,Within Project,Reconstructed from approved narrative/logic
R0123,P03,P03-A16,P03-I-P03-02,FS,0,Within Project,Reconstructed from approved narrative/logic
R0124,P03,P03-M6,P03-I-P03-03,FS,0,Within Project,Reconstructed from approved narrative/logic
R0125,P04,P04-A1,P04-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0126,P04,P04-A2,P04-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0127,P04,P04-A3,P04-A4,FS,10,Within Project,Reconstructed from approved narrative/logic
R0128,P04,P04-A4,P04-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0129,P04,P04-A4,P04-A4b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0130,P04,P04-A4,P04-A5,SS,10,Within Project,Reconstructed from approved narrative/logic
R0131,P04,P04-A5,P04-A5b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0132,P04,P04-A5b,P04-A5c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0133,P04,P04-A5c,P04-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0134,P04,P04-A4b,P04-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0135,P04,P04-M2,P04-A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0136,P04,P04-M2,P04-A7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0137,P04,P04-A6,P04-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0138,P04,P04-A7,P04-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0139,P04,P04-A8,P04-A9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0140,P04,P04-A9,P04-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0141,P04,P04-A10,P04-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0142,P04,P04-A11,P04-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0143,P04,P04-A12,P04-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0144,P04,P04-A13,P04-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0145,P04,P04-A14,P04-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0146,P04,P04-A15,P04-M5,FS,0,Within Project,Reconstructed from approved narrative/logic
R0147,P04,P04-A15,P04-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0148,P04,P04-A16,P04-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0149,P04,P04-A16,P04-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0150,P04,P04-A17,P04-A18,FS,0,Within Project,Reconstructed from approved narrative/logic
R0151,P04,P04-A16,P04-A18,FF,0,Within Project,Reconstructed from approved narrative/logic
R0152,P04,P04-A18,P04-M4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0153,P05,P05-A1,P05-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0154,P05,P05-A2,P05-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0155,P05,P05-A3,P05-A4,FS,5,Within Project,Reconstructed from approved narrative/logic
R0156,P05,P05-A4,P05-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0157,P05,P05-A4,P05-A4b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0158,P05,P05-A4,P05-A5,SS,10,Within Project,Reconstructed from approved narrative/logic
R0159,P05,P05-A5,P05-A5b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0160,P05,P05-A5b,P05-A5c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0161,P05,P05-A5c,P05-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0162,P05,P05-A4b,P05-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0163,P05,P05-M2,P05-A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0164,P05,P05-M2,P05-A7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0165,P05,P05-A7,P05-A8,SS,15,Within Project,Reconstructed from approved narrative/logic
R0166,P05,P05-A8,P05-A9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0167,P05,P05-M2,P05-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0168,P05,P05-M2,P05-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0169,P05,P05-A6,P05-A12a,FS,0,Within Project,Reconstructed from approved narrative/logic
R0170,P05,P05-A9,P05-A12a,FS,0,Within Project,Reconstructed from approved narrative/logic
R0171,P05,P05-A10,P05-A12a,FS,0,Within Project,Reconstructed from approved narrative/logic
R0172,P05,P05-A11,P05-A12a,FS,0,Within Project,Reconstructed from approved narrative/logic
R0173,P05,P05-A12a,P05-A13a,SS,20,Within Project,Reconstructed from approved narrative/logic
R0174,P05,P05-A13a,P05-A14a,SS,20,Within Project,Reconstructed from approved narrative/logic
R0175,P05,P05-A14a,P05-A15a,SS,20,Within Project,Reconstructed from approved narrative/logic
R0176,P05,P05-A12a,P05-AFIRST,SS,0,Within Project,Reconstructed from approved narrative/logic
R0177,P05,P05-AFIRST,P05-MFIRST,FS,0,Within Project,Reconstructed from approved narrative/logic
R0178,P05,P05-A12a,P05-A12b,SS,15,Within Project,Reconstructed from approved narrative/logic
R0179,P05,P05-A12b,P05-A12c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0180,P05,P05-A13a,P05-A13b,SS,15,Within Project,Reconstructed from approved narrative/logic
R0181,P05,P05-A13b,P05-A13c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0182,P05,P05-A14a,P05-A14b,SS,15,Within Project,Reconstructed from approved narrative/logic
R0183,P05,P05-A14b,P05-A14c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0184,P05,P05-A15a,P05-A15b,SS,15,Within Project,Reconstructed from approved narrative/logic
R0185,P05,P05-A15b,P05-A15c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0186,P05,P05-A12a,P05-M25,FS,0,Within Project,Reconstructed from approved narrative/logic
R0187,P05,P05-A13a,P05-M50,FS,0,Within Project,Reconstructed from approved narrative/logic
R0188,P05,P05-A14a,P05-M75,FS,0,Within Project,Reconstructed from approved narrative/logic
R0189,P05,P05-A15a,P05-MTARGET,FS,0,Within Project,Reconstructed from approved narrative/logic
R0190,P05,P05-A12c,P05-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0191,P05,P05-A13c,P05-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0192,P05,P05-A14c,P05-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0193,P05,P05-A15c,P05-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0194,P05,P05-A16,P05-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0195,P05,P05-A16,P05-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0196,P05,P05-A17,P05-A18,FS,0,Within Project,Reconstructed from approved narrative/logic
R0197,P05,P05-A18,P05-M4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0198,P06,P06-A1,P06-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0199,P06,P06-A2,P06-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0200,P06,P06-A3,P06-A4,FS,5,Within Project,Reconstructed from approved narrative/logic
R0201,P06,P06-A4,P06-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0202,P06,P06-A4,P06-A4b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0203,P06,P06-A4,P06-A5,SS,10,Within Project,Reconstructed from approved narrative/logic
R0204,P06,P06-A5,P06-A5b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0205,P06,P06-A5b,P06-A5c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0206,P06,P06-A5c,P06-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0207,P06,P06-A4b,P06-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0208,P06,P06-M2,P06-A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0209,P06,P06-M2,P06-A7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0210,P06,P06-M2,P06-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0211,P06,P06-M2,P06-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0212,P06,P06-M2,P06-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0213,P06,P06-A11,P06-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0214,P06,P06-A12,P06-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0215,P06,P06-A7,P06-A9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0216,P06,P06-A9,P06-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0217,P06,P06-A8,P06-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0218,P06,P06-M2,P06-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0219,P06,P06-A13,P06-APILOTSTAGE,FS,0,Within Project,Reconstructed from approved narrative/logic
R0220,P06,P06-A14,P06-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0221,P06,P06-A15,P06-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0222,P06,P06-APILOTSTAGE,P06-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0223,P06,P06-A8,P06-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0224,P06,P06-A6,P06-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0225,P06,P06-A16,P06-AFIRSTPILOT,SS,0,Within Project,Reconstructed from approved narrative/logic
R0226,P06,P06-A16,P06-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0227,P06,P06-A17,P06-MPILOTDONE,FS,0,Within Project,Reconstructed from approved narrative/logic
R0228,P06,P06-A14,P06-MSYSINT,FS,0,Within Project,Reconstructed from approved narrative/logic
R0229,P06,P06-A17,P06-A18a,FS,0,Within Project,Reconstructed from approved narrative/logic
R0230,P06,P06-A17,P06-A19a,FS,15,Within Project,Reconstructed from approved narrative/logic
R0231,P06,P06-A17,P06-A20a,FS,30,Within Project,Reconstructed from approved narrative/logic
R0232,P06,P06-A17,P06-A21a,FS,45,Within Project,Reconstructed from approved narrative/logic
R0233,P06,P06-A18a,P06-A18b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0234,P06,P06-A19a,P06-A19b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0235,P06,P06-A20a,P06-A20b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0236,P06,P06-A21a,P06-A21b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0237,P06,P06-A18a,P06-M25,FS,0,Within Project,Reconstructed from approved narrative/logic
R0238,P06,P06-A19a,P06-M50,FS,0,Within Project,Reconstructed from approved narrative/logic
R0239,P06,P06-A20a,P06-M75,FS,0,Within Project,Reconstructed from approved narrative/logic
R0240,P06,P06-A21a,P06-MFULL,FS,0,Within Project,Reconstructed from approved narrative/logic
R0241,P06,P06-A18b,P06-A22,FS,0,Within Project,Reconstructed from approved narrative/logic
R0242,P06,P06-A19b,P06-A22,FS,0,Within Project,Reconstructed from approved narrative/logic
R0243,P06,P06-A20b,P06-A22,FS,0,Within Project,Reconstructed from approved narrative/logic
R0244,P06,P06-A21b,P06-A22,FS,0,Within Project,Reconstructed from approved narrative/logic
R0245,P06,P06-A22,P06-A23,FS,0,Within Project,Reconstructed from approved narrative/logic
R0246,P06,P06-A23,P06-A24,FS,0,Within Project,Reconstructed from approved narrative/logic
R0247,P06,P06-A24,P06-A25,FS,0,Within Project,Reconstructed from approved narrative/logic
R0248,P06,P06-A25,P06-A26,FS,0,Within Project,Reconstructed from approved narrative/logic
R0249,P06,P06-A24,P06-MOPACC,FS,0,Within Project,Reconstructed from approved narrative/logic
R0250,P06,P06-A24,P06-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0251,P06,P06-A26,P06-M4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0252,P07,P07-A1,P07-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0253,P07,P07-A2,P07-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0254,P07,P07-A3,P07-A4,FS,5,Within Project,Reconstructed from approved narrative/logic
R0255,P07,P07-A4,P07-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0256,P07,P07-A4,P07-A4b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0257,P07,P07-A4,P07-A5,SS,10,Within Project,Reconstructed from approved narrative/logic
R0258,P07,P07-A5,P07-A5b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0259,P07,P07-A5b,P07-A5c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0260,P07,P07-A5c,P07-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0261,P07,P07-A4b,P07-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0262,P07,P07-M2,P07-A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0263,P07,P07-M2,P07-A7,FS,0,Within Project,Reconstructed from approved narrative/logic
R0264,P07,P07-M2,P07-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0265,P07,P07-A8,P07-A9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0266,P07,P07-A6,P07-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0267,P07,P07-A7,P07-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0268,P07,P07-A10,P07-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0269,P07,P07-A9,P07-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0270,P07,P07-A11,P07-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0271,P07,P07-A12,P07-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0272,P07,P07-A13,P07-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0273,P07,P07-A14,P07-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0274,P07,P07-A15,P07-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0275,P07,P07-A14,P07-MCOMM,FS,0,Within Project,Reconstructed from approved narrative/logic
R0276,P07,P07-A15,P07-MBAL,FS,0,Within Project,Reconstructed from approved narrative/logic
R0277,P07,P07-A16,P07-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0278,P07,P07-A16,P07-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0279,P07,P07-A17,P07-A18,FS,0,Within Project,Reconstructed from approved narrative/logic
R0280,P07,P07-A16,P07-A18,FF,0,Within Project,Reconstructed from approved narrative/logic
R0281,P07,P07-A18,P07-M4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0282,P08,P08-A1,P08-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0283,P08,P08-A2,P08-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0284,P08,P08-A3,P08-A4,FS,5,Within Project,Reconstructed from approved narrative/logic
R0285,P08,P08-A4,P08-M1,FS,0,Within Project,Reconstructed from approved narrative/logic
R0286,P08,P08-A4,P08-A4b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0287,P08,P08-A3,P08-A7,SS,10,Within Project,Reconstructed from approved narrative/logic
R0288,P08,P08-A4,P08-A5,SS,10,Within Project,Reconstructed from approved narrative/logic
R0289,P08,P08-A5,P08-A5b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0290,P08,P08-A5b,P08-A5c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0291,P08,P08-A5c,P08-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0292,P08,P08-A4b,P08-M2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0293,P08,P08-M2,P08-A6,FS,0,Within Project,Reconstructed from approved narrative/logic
R0294,P08,P08-M2,P08-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0295,P08,P08-M2,P08-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
R0296,P08,P08-M2,P08-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0297,P08,P08-A8,P08-A9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0298,P08,P08-A9,P08-A9fat,FS,0,Within Project,Reconstructed from approved narrative/logic
R0299,P08,P08-A9fat,P08-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0300,P08,P08-A8,P08-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0301,P08,P08-A10,P08-A10fat,FS,0,Within Project,Reconstructed from approved narrative/logic
R0302,P08,P08-A10fat,P08-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0303,P08,P08-A14,P08-MOUTAGE,FS,0,Within Project,Reconstructed from approved narrative/logic
R0304,P08,P08-A13,P08-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0305,P08,P08-A11,P08-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0306,P08,P08-A14,P08-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0307,P08,P08-A13,P08-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0308,P08,P08-A12,P08-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0309,P08,P08-A14,P08-A16,FS,0,Within Project,Reconstructed from approved narrative/logic
R0310,P08,P08-A15,P08-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0311,P08,P08-A16,P08-A17,FS,0,Within Project,Reconstructed from approved narrative/logic
R0312,P08,P08-A17,P08-A18,FS,0,Within Project,Reconstructed from approved narrative/logic
R0313,P08,P08-A18,P08-A19,FS,0,Within Project,Reconstructed from approved narrative/logic
R0314,P08,P08-A19,P08-A20,FS,0,Within Project,Reconstructed from approved narrative/logic
R0315,P08,P08-A20,P08-A21,FS,0,Within Project,Reconstructed from approved narrative/logic
R0316,P08,P08-A18,P08-MSTART,FS,0,Within Project,Reconstructed from approved narrative/logic
R0317,P08,P08-A20,P08-MOPACC,FS,0,Within Project,Reconstructed from approved narrative/logic
R0318,P08,P08-A21,P08-M3,FS,0,Within Project,Reconstructed from approved narrative/logic
