Cost_Entry_ID,Cost_Ownership_Line_ID,Project_ID,Activity_ID,Incurred_Date,Reporting_Month,Cost_Category,Incurred_Cost_USD,Transaction_Description,Source
AC-CL0001-2025-01,CL0001,P01,P01-A1,2025-01-31,2025-01,ENGINEERING_OR_FIELD,122100.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0012-2025-03,CL0012,P01,P01-A4u,2025-03-31,2025-03,ENGINEERING_OR_FIELD,95904.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0013-2025-07,CL0013,P01,P01-A7c,2025-07-31,2025-07,PROCUREMENT,1304294.40,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0014-2025-07,CL0014,P01,P01-A8,2025-07-31,2025-07,ENGINEERING_OR_FIELD,19180.80,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0014-2025-08,CL0014,P01,P01-A8,2025-08-31,2025-08,ENGINEERING_OR_FIELD,150249.60,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0014-2025-09,CL0014,P01,P01-A8,2025-09-30,2025-09,ENGINEERING_OR_FIELD,150249.60,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0015-2025-11,CL0015,P01,P01-A15,2025-11-30,2025-11,TESTING_ACCEPTANCE,639360.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0016-2025-08,CL0016,P01,P01-A9,2025-08-31,2025-08,ENGINEERING_OR_FIELD,255744.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0016-2025-09,CL0016,P01,P01-A9,2025-09-30,2025-09,ENGINEERING_OR_FIELD,170496.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0017-2025-08,CL0017,P01,P01-A9b,2025-08-31,2025-08,ENGINEERING_OR_FIELD,170496.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0017-2025-09,CL0017,P01,P01-A9b,2025-09-30,2025-09,ENGINEERING_OR_FIELD,255744.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0018-2025-10,CL0018,P01,P01-A10,2025-10-31,2025-10,ENGINEERING_OR_FIELD,383616.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0018-2025-11,CL0018,P01,P01-A10,2025-11-30,2025-11,ENGINEERING_OR_FIELD,255744.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0019-2025-10,CL0019,P01,P01-A11,2025-10-31,2025-10,TESTING_ACCEPTANCE,518000.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0020-2025-12,CL0020,P01,P01-A13,2025-12-31,2025-12,TESTING_ACCEPTANCE,144300.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0021-2025-12,CL0021,P01,P01-A14,2025-12-31,2025-12,TESTING_ACCEPTANCE,77700.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0022-2025-02,CL0022,P02,P02-A1,2025-02-28,2025-02,ENGINEERING_OR_FIELD,145200.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0023-2025-02,CL0023,P02,P02-A2,2025-02-28,2025-02,ENGINEERING_OR_FIELD,145200.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0024-2025-02,CL0024,P02,P02-A3,2025-02-28,2025-02,ENGINEERING_OR_FIELD,76230.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0024-2025-03,CL0024,P02,P02-A3,2025-03-31,2025-03,ENGINEERING_OR_FIELD,228690.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0025-2025-03,CL0025,P02,P02-A4,2025-03-31,2025-03,ENGINEERING_OR_FIELD,67953.60,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0025-2025-04,CL0025,P02,P02-A4,2025-04-30,2025-04,ENGINEERING_OR_FIELD,215186.40,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0026-2025-04,CL0026,P02,P02-A4b,2025-04-30,2025-04,ENGINEERING_OR_FIELD,42471.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0026-2025-05,CL0026,P02,P02-A4b,2025-05-31,2025-05,ENGINEERING_OR_FIELD,240669.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0027-2025-04,CL0027,P02,P02-A5,2025-04-30,2025-04,ENGINEERING_OR_FIELD,101978.80,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0027-2025-05,CL0027,P02,P02-A5,2025-05-31,2025-05,ENGINEERING_OR_FIELD,16601.20,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0028-2025-05,CL0028,P02,P02-A5b,2025-05-31,2025-05,ENGINEERING_OR_FIELD,118580.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0029-2025-06,CL0029,P02,P02-A6,2025-06-30,2025-06,ENGINEERING_OR_FIELD,440440.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0030-2025-02,CL0030,P02,P02-A6b,2025-02-28,2025-02,ENGINEERING_OR_FIELD,209088.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0031-2025-06,CL0031,P02,P02-A7a,2025-06-30,2025-06,PROCUREMENT,212889.60,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0032-2025-06,CL0032,P02,P02-A8,2025-06-30,2025-06,ENGINEERING_OR_FIELD,209088.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0033-2025-06,CL0033,P02,P02-A7b,2025-06-30,2025-06,PROCUREMENT,15206.40,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0033-2025-07,CL0033,P02,P02-A7b,2025-07-31,2025-07,PROCUREMENT,167270.40,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0033-2025-08,CL0033,P02,P02-A7b,2025-08-31,2025-08,PROCUREMENT,250905.60,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0033-2025-10,CL0033,P02,P02-A7b,2025-10-31,2025-10,PROCUREMENT,418176.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0034-2025-06,CL0034,P02,P02-A9,2025-06-30,2025-06,ENGINEERING_OR_FIELD,12545.28,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0034-2025-07,CL0034,P02,P02-A9,2025-07-31,2025-07,ENGINEERING_OR_FIELD,196542.72,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0035-2025-11,CL0035,P02,P02-A7c,2025-11-30,2025-11,ENGINEERING_OR_FIELD,209088.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0036-2025-11,CL0036,P02,P02-A7d,2025-11-30,2025-11,PROCUREMENT,851558.40,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0037-2025-11,CL0037,P02,P02-A10,2025-11-30,2025-11,ENGINEERING_OR_FIELD,16727.04,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0037-2025-12,CL0037,P02,P02-A10,2025-12-31,2025-12,ENGINEERING_OR_FIELD,192360.96,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0038-2026-02,CL0038,P02,P02-A15b,2026-02-28,2026-02,TESTING_ACCEPTANCE,418176.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0039-2025-06,CL0039,P02,P02-A11a,2025-06-30,2025-06,PROCUREMENT,248371.20,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0040-2025-02,CL0040,P02,P02-A6c,2025-02-28,2025-02,ENGINEERING_OR_FIELD,243936.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0041-2025-06,CL0041,P02,P02-A11b,2025-06-30,2025-06,PROCUREMENT,17740.80,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0041-2025-07,CL0041,P02,P02-A11b,2025-07-31,2025-07,PROCUREMENT,195148.80,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0041-2025-08,CL0041,P02,P02-A11b,2025-08-31,2025-08,PROCUREMENT,292723.20,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0041-2025-09,CL0041,P02,P02-A11b,2025-09-30,2025-09,PROCUREMENT,292723.20,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0041-2025-10,CL0041,P02,P02-A11b,2025-10-31,2025-10,PROCUREMENT,195148.80,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0042-2025-10,CL0042,P02,P02-A11c,2025-10-31,2025-10,ENGINEERING_OR_FIELD,243936.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0043-2025-11,CL0043,P02,P02-A11d,2025-11-30,2025-11,PROCUREMENT,993484.80,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0044-2025-11,CL0044,P02,P02-A12,2025-11-30,2025-11,ENGINEERING_OR_FIELD,146361.60,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0044-2025-12,CL0044,P02,P02-A12,2025-12-31,2025-12,ENGINEERING_OR_FIELD,97574.40,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0045-2025-07,CL0045,P02,P02-A13,2025-07-31,2025-07,ENGINEERING_OR_FIELD,313632.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0045-2025-08,CL0045,P02,P02-A13,2025-08-31,2025-08,ENGINEERING_OR_FIELD,383328.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0046-2026-01,CL0046,P02,P02-A14,2026-01-31,2026-01,TESTING_ACCEPTANCE,290400.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0047-2026-01,CL0047,P02,P02-A15,2026-01-31,2026-01,TESTING_ACCEPTANCE,290400.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0048-2026-02,CL0048,P02,P02-A16,2026-02-28,2026-02,TESTING_ACCEPTANCE,188760.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0049-2026-02,CL0049,P02,P02-A17,2026-02-28,2026-02,TESTING_ACCEPTANCE,101640.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0050-2025-01,CL0050,P03,P03-A1,2025-01-31,2025-01,ENGINEERING_OR_FIELD,295974.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0050-2025-02,CL0050,P03,P03-A1,2025-02-28,2025-02,ENGINEERING_OR_FIELD,8221.50,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0051-2025-02,CL0051,P03,P03-A2,2025-02-28,2025-02,ENGINEERING_OR_FIELD,361746.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0051-2025-03,CL0051,P03,P03-A2,2025-03-31,2025-03,ENGINEERING_OR_FIELD,10048.50,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0052-2025-03,CL0052,P03,P03-A3,2025-03-31,2025-03,ENGINEERING_OR_FIELD,168727.10,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0052-2025-04,CL0052,P03,P03-A3,2025-04-30,2025-04,ENGINEERING_OR_FIELD,146978.50,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0052-2025-11,CL0052,P03,P03-A3,2025-11-30,2025-11,ENGINEERING_OR_FIELD,8769.60,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0053-2025-04,CL0053,P03,P03-A4,2025-04-30,2025-04,ENGINEERING_OR_FIELD,104182.84,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0053-2025-05,CL0053,P03,P03-A4,2025-05-31,2025-05,ENGINEERING_OR_FIELD,211522.76,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0053-2025-06,CL0053,P03,P03-A4,2025-06-30,2025-06,ENGINEERING_OR_FIELD,8769.60,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0054-2025-02,CL0054,P03,P03-A2b,2025-02-28,2025-02,ENGINEERING_OR_FIELD,149083.20,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0054-2025-10,CL0054,P03,P03-A2b,2025-10-31,2025-10,ENGINEERING_OR_FIELD,4141.20,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0055-2025-05,CL0055,P03,P03-A5,2025-05-31,2025-05,ENGINEERING_OR_FIELD,147592.36,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0055-2025-06,CL0055,P03,P03-A5,2025-06-30,2025-06,ENGINEERING_OR_FIELD,312080.84,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0056-2025-06,CL0056,P03,P03-A6,2025-06-30,2025-06,ENGINEERING_OR_FIELD,9193.46,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0056-2025-07,CL0056,P03,P03-A6,2025-07-31,2025-07,ENGINEERING_OR_FIELD,139889.74,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0057-2025-07,CL0057,P03,P03-A7,2025-07-31,2025-07,ENGINEERING_OR_FIELD,141629.04,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0057-2025-08,CL0057,P03,P03-A7,2025-08-31,2025-08,ENGINEERING_OR_FIELD,7454.16,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0057-2025-11,CL0057,P03,P03-A7,2025-11-30,2025-11,ENGINEERING_OR_FIELD,4141.20,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0058-2025-07,CL0058,P03,P03-A7b,2025-07-31,2025-07,ENGINEERING_OR_FIELD,4472.49,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0058-2025-08,CL0058,P03,P03-A7b,2025-08-31,2025-08,ENGINEERING_OR_FIELD,104358.24,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0058-2025-09,CL0058,P03,P03-A7b,2025-09-30,2025-09,ENGINEERING_OR_FIELD,40252.47,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0060-2025-07,CL0060,P03,P03-A8,2025-07-31,2025-07,ENGINEERING_OR_FIELD,120856.05,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0060-2025-08,CL0060,P03,P03-A8,2025-08-31,2025-08,ENGINEERING_OR_FIELD,147712.95,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0060-2026-02,CL0060,P03,P03-A8,2026-02-28,2026-02,ENGINEERING_OR_FIELD,7460.25,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0061-2025-08,CL0061,P03,P03-A9,2025-08-31,2025-08,ENGINEERING_OR_FIELD,177255.54,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0061-2025-09,CL0061,P03,P03-A9,2025-09-30,2025-09,ENGINEERING_OR_FIELD,91313.46,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0061-2026-02,CL0061,P03,P03-A9,2026-02-28,2026-02,ENGINEERING_OR_FIELD,7460.25,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0062-2025-09,CL0062,P03,P03-A9b,2025-09-30,2025-09,ENGINEERING_OR_FIELD,498771.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0062-2026-01,CL0062,P03,P03-A9b,2026-01-31,2026-01,ENGINEERING_OR_FIELD,13854.75,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0063-2025-09,CL0063,P03,P03-A10,2025-09-30,2025-09,ENGINEERING_OR_FIELD,99754.20,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0063-2025-10,CL0063,P03,P03-A10,2025-10-31,2025-10,ENGINEERING_OR_FIELD,412871.55,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0064-2025-09,CL0064,P03,P03-A11,2025-09-30,2025-09,PROCUREMENT,8693.18,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0064-2025-10,CL0064,P03,P03-A11,2025-10-31,2025-10,PROCUREMENT,469431.72,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0064-2025-12,CL0064,P03,P03-A11,2025-12-31,2025-12,PROCUREMENT,13039.77,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0065-2025-10,CL0065,P03,P03-A12,2025-10-31,2025-10,PROCUREMENT,34772.70,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0065-2025-11,CL0065,P03,P03-A12,2025-11-30,2025-11,PROCUREMENT,375545.16,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0065-2026-01,CL0065,P03,P03-A12,2026-01-31,2026-01,PROCUREMENT,563317.74,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0065-2026-02,CL0065,P03,P03-A12,2026-02-28,2026-02,PROCUREMENT,563317.74,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0065-2026-03,CL0065,P03,P03-A12,2026-03-31,2026-03,PROCUREMENT,375545.16,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0066-2026-03,CL0066,P03,P03-A13,2026-03-31,2026-03,PROCUREMENT,249928.92,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0070-2025-09,CL0070,P03,P03-A16,2025-09-30,2025-09,PROCUREMENT,7105.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0070-2025-10,CL0070,P03,P03-A16,2025-10-31,2025-10,PROCUREMENT,383670.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0071-2025-10,CL0071,P03,P03-A17,2025-10-31,2025-10,PROCUREMENT,28420.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0071-2025-11,CL0071,P03,P03-A17,2025-11-30,2025-11,PROCUREMENT,315462.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0071-2025-12,CL0071,P03,P03-A17,2025-12-31,2025-12,PROCUREMENT,451878.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0071-2026-01,CL0071,P03,P03-A17,2026-01-31,2026-01,PROCUREMENT,460404.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
