Cost_Ownership_Line_ID,Project_ID,Funded_Cost_WP_ID,Schedule_Activity_ID,Reporting_Month,Monthly_PV_USD,PV_Rule,Synthetic_Recognition_Proxy
CL0076,P03,P03-WP043,P03-A21,2025-09,76971.00,PROCUREMENT_20_30_30_20,YES
CL0076,P03,P03-WP043,P03-A21,2025-10,76971.00,PROCUREMENT_20_30_30_20,YES
CL0077,P03,P03-WP043,P03-A22,2025-10,123153.40,PROCUREMENT_20_30_30_20,YES
CL0077,P03,P03-WP043,P03-A22,2025-11,184730.10,PROCUREMENT_20_30_30_20,YES
CL0077,P03,P03-WP043,P03-A22,2025-12,307883.50,PROCUREMENT_20_30_30_20,YES
CL0078,P03,P03-WP043,P03-A23,2025-12,615766.00,PROCUREMENT_20_30_30_20,YES
CL0079,P03,P03-WP043,P03-A24,2026-05,129311.00,WORKDAY_FALLBACK,YES
CL0079,P03,P03-WP043,P03-A24,2026-06,332514.00,WORKDAY_FALLBACK,YES
CL0080,P03,P03-WP051,P03-A26,2026-08,446601.00,FINAL_GATE,YES
CL0081,P03,P03-WP051,P03-A27,2026-10,446599.00,FINAL_GATE,YES
CL0082,P03,P03-WP061,P03-A31,2026-12,284200.00,FINAL_GATE,YES
CL0083,P03,P03-WP061,P03-A32,2026-12,142100.00,FINAL_GATE,YES
CL0084,P03,P03-WP062,P03-A33,2027-01,182700.00,FINAL_GATE,YES
CL0085,P04,P04-WP011,P04-A1,2025-06,82500.00,WORKDAY_SPREAD,YES
CL0086,P04,P04-WP012,P04-A2,2025-06,82500.00,WORKDAY_SPREAD,YES
CL0087,P04,P04-WP021,P04-A3,2025-06,40425.00,WORKDAY_SPREAD,YES
CL0087,P04,P04-WP021,P04-A3,2025-07,94325.00,WORKDAY_SPREAD,YES
CL0088,P04,P04-WP022,P04-A4,2025-08,50050.40,WORKDAY_SPREAD,YES
CL0088,P04,P04-WP022,P04-A4,2025-09,12512.60,WORKDAY_SPREAD,YES
CL0089,P04,P04-WP022,P04-A4b,2025-09,62562.00,WORKDAY_SPREAD,YES
CL0090,P04,P04-WP022,P04-A15,2026-03,125125.00,FINAL_GATE,YES
CL0091,P04,P04-WP031,P04-A5,2025-08,44916.60,WORKDAY_SPREAD,YES
CL0091,P04,P04-WP031,P04-A5,2025-09,22458.40,WORKDAY_SPREAD,YES
CL0092,P04,P04-WP031,P04-A5b,2025-09,67375.00,WORKDAY_SPREAD,YES
CL0093,P04,P04-WP032,P04-A5c,2025-09,87587.50,WORKDAY_SPREAD,YES
CL0093,P04,P04-WP032,P04-A5c,2025-10,37537.50,WORKDAY_SPREAD,YES
CL0094,P04,P04-WP032,P04-A6,2025-10,62562.50,WORKDAY_SPREAD,YES
CL0094,P04,P04-WP032,P04-A6,2025-11,62562.50,WORKDAY_SPREAD,YES
CL0095,P04,P04-WP041,P04-A7,2025-10,82530.65,WORKDAY_SPREAD,YES
CL0095,P04,P04-WP041,P04-A7,2025-11,165061.35,WORKDAY_SPREAD,YES
CL0096,P04,P04-WP041,P04-A8,2025-11,247592.00,WORKDAY_SPREAD,YES
CL0097,P04,P04-WP041,P04-A9,2025-11,82530.65,WORKDAY_SPREAD,YES
CL0097,P04,P04-WP041,P04-A9,2025-12,165061.35,WORKDAY_SPREAD,YES
CL0098,P04,P04-WP041,P04-A12,2026-01,618979.00,WORKDAY_FALLBACK,YES
CL0098,P04,P04-WP041,P04-A12,2026-02,618979.00,WORKDAY_FALLBACK,YES
CL0099,P04,P04-WP041,P04-A13,2026-02,247592.00,WORKDAY_FALLBACK,YES
CL0100,P04,P04-WP041,P04-A14,2026-03,247591.00,WORKDAY_SPREAD,YES
CL0101,P04,P04-WP041,P04-A16,2026-03,495183.00,FINAL_GATE,YES
CL0102,P04,P04-WP042,P04-A10,2025-12,814000.00,WORKDAY_FALLBACK,YES
CL0103,P04,P04-WP043,P04-A11,2025-12,56979.99,WORKDAY_FALLBACK,YES
CL0103,P04,P04-WP043,P04-A11,2026-01,227920.01,WORKDAY_FALLBACK,YES
CL0104,P04,P04-WP061,P04-A17,2026-04,107250.00,FINAL_GATE,YES
CL0105,P04,P04-WP062,P04-A18,2026-04,57750.00,FINAL_GATE,YES
CL0106,P05,P05-WP011,P05-A1,2025-03,96200.00,WORKDAY_SPREAD,YES
CL0107,P05,P05-WP011,P05-A8,2025-09,192400.00,FINAL_GATE,YES
CL0108,P05,P05-WP012,P05-A2,2025-03,93240.00,WORKDAY_FALLBACK,YES
CL0108,P05,P05-WP012,P05-A2,2025-04,62160.00,WORKDAY_FALLBACK,YES
CL0109,P05,P05-WP021,P05-A3,2025-04,199800.00,WORKDAY_FALLBACK,YES
CL0110,P05,P05-WP022,P05-A4,2025-05,155400.00,WORKDAY_SPREAD,YES
CL0111,P05,P05-WP022,P05-A4b,2025-05,51800.00,WORKDAY_SPREAD,YES
CL0111,P05,P05-WP022,P05-A4b,2025-06,103600.00,WORKDAY_SPREAD,YES
CL0112,P05,P05-WP022,P05-A10,2025-07,145040.00,WORKDAY_SPREAD,YES
CL0112,P05,P05-WP022,P05-A10,2025-08,10360.00,WORKDAY_SPREAD,YES
CL0113,P05,P05-WP031,P05-A5,2025-05,77700.00,WORKDAY_SPREAD,YES
CL0113,P05,P05-WP031,P05-A5,2025-06,38850.00,WORKDAY_SPREAD,YES
CL0114,P05,P05-WP031,P05-A5b,2025-06,116550.00,WORKDAY_SPREAD,YES
CL0115,P05,P05-WP032,P05-A5c,2025-06,43290.00,WORKDAY_SPREAD,YES
CL0115,P05,P05-WP032,P05-A5c,2025-07,28860.00,WORKDAY_SPREAD,YES
CL0116,P05,P05-WP032,P05-A11,2025-07,57720.00,PROCUREMENT_20_30_30_20,YES
CL0116,P05,P05-WP032,P05-A11,2025-08,230880.00,PROCUREMENT_20_30_30_20,YES
CL0117,P05,P05-WP032,P05-A6,2025-07,67340.00,WORKDAY_SPREAD,YES
CL0117,P05,P05-WP032,P05-A6,2025-08,4810.00,WORKDAY_SPREAD,YES
CL0118,P05,P05-WP041,P05-A7,2025-07,84203.70,WORKDAY_SPREAD,YES
CL0118,P05,P05-WP041,P05-A7,2025-08,126305.55,WORKDAY_SPREAD,YES
CL0118,P05,P05-WP041,P05-A7,2025-09,30072.75,WORKDAY_SPREAD,YES
CL0119,P05,P05-WP041,P05-A9,2025-07,48116.40,WORKDAY_SPREAD,YES
CL0119,P05,P05-WP041,P05-A9,2025-08,192465.60,WORKDAY_SPREAD,YES
CL0120,P05,P05-WP041,P05-A12a,2025-08,109355.50,WORKDAY_FALLBACK,YES
CL0120,P05,P05-WP041,P05-A12a,2025-09,481164.20,WORKDAY_FALLBACK,YES
CL0120,P05,P05-WP041,P05-A12a,2025-10,503035.30,WORKDAY_FALLBACK,YES
CL0120,P05,P05-WP041,P05-A12a,2025-11,109356.00,WORKDAY_FALLBACK,YES
CL0121,P05,P05-WP041,P05-AFIRST,2025-08,721747.00,WORKDAY_FALLBACK,YES
CL0122,P05,P05-WP041,P05-A13a,2025-09,153097.70,WORKDAY_FALLBACK,YES
CL0122,P05,P05-WP041,P05-A13a,2025-10,503035.30,WORKDAY_FALLBACK,YES
CL0122,P05,P05-WP041,P05-A13a,2025-11,437422.00,WORKDAY_FALLBACK,YES
CL0122,P05,P05-WP041,P05-A13a,2025-12,109356.00,WORKDAY_FALLBACK,YES
CL0123,P05,P05-WP041,P05-A14a,2025-10,218711.00,WORKDAY_FALLBACK,YES
CL0123,P05,P05-WP041,P05-A14a,2025-11,437422.00,WORKDAY_FALLBACK,YES
CL0123,P05,P05-WP041,P05-A14a,2025-12,503035.30,WORKDAY_FALLBACK,YES
CL0123,P05,P05-WP041,P05-A14a,2026-01,43742.70,WORKDAY_FALLBACK,YES
CL0124,P05,P05-WP041,P05-A15a,2025-11,218711.00,WORKDAY_FALLBACK,YES
CL0124,P05,P05-WP041,P05-A15a,2025-12,503035.30,WORKDAY_FALLBACK,YES
CL0124,P05,P05-WP041,P05-A15a,2026-01,481164.70,WORKDAY_FALLBACK,YES
CL0125,P05,P05-WP041,P05-A16,2026-04,481165.00,FINAL_GATE,YES
CL0126,P05,P05-WP042,P05-A12b,2025-09,82826.16,WORKDAY_FALLBACK,YES
CL0126,P05,P05-WP042,P05-A12b,2025-10,158750.14,WORKDAY_FALLBACK,YES
CL0126,P05,P05-WP042,P05-A12b,2025-11,138043.70,WORKDAY_FALLBACK,YES
CL0127,P05,P05-WP042,P05-A13b,2025-10,103532.70,WORKDAY_FALLBACK,YES
CL0127,P05,P05-WP042,P05-A13b,2025-11,138043.60,WORKDAY_FALLBACK,YES
CL0127,P05,P05-WP042,P05-A13b,2025-12,138043.70,WORKDAY_FALLBACK,YES
CL0128,P05,P05-WP042,P05-A14b,2025-11,103532.70,WORKDAY_FALLBACK,YES
CL0128,P05,P05-WP042,P05-A14b,2025-12,158750.14,WORKDAY_FALLBACK,YES
CL0128,P05,P05-WP042,P05-A14b,2026-01,117337.16,WORKDAY_FALLBACK,YES
CL0129,P05,P05-WP042,P05-A15b,2025-12,124239.24,WORKDAY_FALLBACK,YES
CL0129,P05,P05-WP042,P05-A15b,2026-01,151847.96,WORKDAY_FALLBACK,YES
CL0129,P05,P05-WP042,P05-A15b,2026-02,103532.80,WORKDAY_FALLBACK,YES
CL0130,P05,P05-WP051,P05-A12c,2025-12,138750.00,FINAL_GATE,YES
CL0131,P05,P05-WP051,P05-A13c,2026-01,138750.00,FINAL_GATE,YES
CL0132,P05,P05-WP051,P05-A14c,2026-02,138750.00,FINAL_GATE,YES
CL0133,P05,P05-WP051,P05-A15c,2026-03,138750.00,FINAL_GATE,YES
CL0134,P05,P05-WP061,P05-A17,2026-05,249750.00,FINAL_GATE,YES
CL0135,P05,P05-WP062,P05-A18,2026-05,83250.00,FINAL_GATE,YES
CL0136,P06,P06-WP011,P06-A1,2025-08,75900.00,WORKDAY_SPREAD,YES
CL0137,P06,P06-WP011,P06-A10,2025-12,53130.00,WORKDAY_SPREAD,YES
CL0137,P06,P06-WP011,P06-A10,2026-01,22770.00,WORKDAY_SPREAD,YES
CL0138,P06,P06-WP012,P06-A2,2025-08,74520.00,WORKDAY_SPREAD,YES
CL0138,P06,P06-WP012,P06-A2,2025-09,49680.00,WORKDAY_SPREAD,YES
CL0139,P06,P06-WP021,P06-A3,2025-09,239085.00,WORKDAY_SPREAD,YES
CL0139,P06,P06-WP021,P06-A3,2025-10,26565.00,WORKDAY_SPREAD,YES
CL0140,P06,P06-WP022,P06-A4,2025-10,98670.40,WORKDAY_SPREAD,YES
CL0140,P06,P06-WP022,P06-A4,2025-11,24667.60,WORKDAY_SPREAD,YES
CL0141,P06,P06-WP022,P06-A4b,2025-11,123338.00,WORKDAY_SPREAD,YES
CL0142,P06,P06-WP022,P06-A7,2025-12,86335.90,WORKDAY_SPREAD,YES
CL0142,P06,P06-WP022,P06-A7,2026-01,37001.10,WORKDAY_SPREAD,YES
CL0143,P06,P06-WP022,P06-A8,2025-12,115114.44,WORKDAY_SPREAD,YES
CL0143,P06,P06-WP022,P06-A8,2026-01,8222.56,WORKDAY_SPREAD,YES
CL0144,P06,P06-WP031,P06-A5,2025-10,35880.00,WORKDAY_SPREAD,YES
CL0144,P06,P06-WP031,P06-A5,2025-11,53820.00,WORKDAY_SPREAD,YES
CL0145,P06,P06-WP031,P06-A5b,2025-11,89700.00,WORKDAY_SPREAD,YES
CL0146,P06,P06-WP031,P06-A11,2025-12,71760.00,PROCUREMENT_20_30_30_20,YES
CL0146,P06,P06-WP031,P06-A11,2026-01,17940.00,PROCUREMENT_20_30_30_20,YES
CL0147,P06,P06-WP032,P06-A5c,2025-11,8970.00,WORKDAY_SPREAD,YES
CL0147,P06,P06-WP032,P06-A5c,2025-12,80730.00,WORKDAY_SPREAD,YES
CL0148,P06,P06-WP032,P06-A6,2025-12,89700.00,WORKDAY_SPREAD,YES
CL0149,P06,P06-WP032,P06-A12,2026-01,71760.00,PROCUREMENT_20_30_30_20,YES
CL0149,P06,P06-WP032,P06-A12,2026-02,107640.00,PROCUREMENT_20_30_30_20,YES
CL0149,P06,P06-WP032,P06-A12,2026-03,179400.00,PROCUREMENT_20_30_30_20,YES
CL0150,P06,P06-WP032,P06-A13,2026-03,17940.00,PROCUREMENT_20_30_30_20,YES
CL0150,P06,P06-WP032,P06-A13,2026-04,71760.00,PROCUREMENT_20_30_30_20,YES
CL0151,P06,P06-WP041,P06-A15,2025-12,340947.00,WORKDAY_FALLBACK,YES
CL0152,P06,P06-WP041,P06-APILOTSTAGE,2026-04,454595.00,PROCUREMENT_20_30_30_20,YES
CL0153,P06,P06-WP041,P06-A16,2026-04,227297.30,WORKDAY_FALLBACK,YES
CL0153,P06,P06-WP041,P06-A16,2026-05,113648.70,WORKDAY_FALLBACK,YES
CL0154,P06,P06-WP041,P06-AFIRSTPILOT,2026-04,113649.00,WORKDAY_FALLBACK,YES
CL0155,P06,P06-WP041,P06-A18a,2026-05,9741.31,WORKDAY_FALLBACK,YES
CL0155,P06,P06-WP041,P06-A18a,2026-06,214308.82,WORKDAY_FALLBACK,YES
CL0155,P06,P06-WP041,P06-A18a,2026-07,116895.87,WORKDAY_FALLBACK,YES
CL0156,P06,P06-WP041,P06-A19a,2026-06,77930.48,WORKDAY_FALLBACK,YES
CL0156,P06,P06-WP041,P06-A19a,2026-07,224050.13,WORKDAY_FALLBACK,YES
CL0156,P06,P06-WP041,P06-A19a,2026-08,38965.39,WORKDAY_FALLBACK,YES
CL0157,P06,P06-WP041,P06-A20a,2026-07,155860.96,WORKDAY_FALLBACK,YES
CL0157,P06,P06-WP041,P06-A20a,2026-08,185085.04,WORKDAY_FALLBACK,YES
CL0158,P06,P06-WP041,P06-A21a,2026-07,9741.31,WORKDAY_FALLBACK,YES
CL0158,P06,P06-WP041,P06-A21a,2026-08,204567.51,WORKDAY_FALLBACK,YES
CL0158,P06,P06-WP041,P06-A21a,2026-09,126637.18,WORKDAY_FALLBACK,YES
CL0159,P06,P06-WP041,P06-A22,2026-10,113649.00,WORKDAY_SPREAD,YES
CL0160,P06,P06-WP042,P06-A9,2026-01,341964.16,WORKDAY_FALLBACK,YES
CL0160,P06,P06-WP042,P06-A9,2026-02,299218.84,WORKDAY_FALLBACK,YES
CL0161,P06,P06-WP042,P06-A14,2026-02,64118.10,WORKDAY_SPREAD,YES
CL0161,P06,P06-WP042,P06-A14,2026-03,149608.90,WORKDAY_SPREAD,YES
CL0162,P06,P06-WP043,P06-A18b,2026-07,122130.00,WORKDAY_SPREAD,YES
CL0163,P06,P06-WP043,P06-A19b,2026-08,122130.00,WORKDAY_SPREAD,YES
CL0164,P06,P06-WP043,P06-A20b,2026-08,24426.00,WORKDAY_SPREAD,YES
CL0164,P06,P06-WP043,P06-A20b,2026-09,97704.00,WORKDAY_SPREAD,YES
CL0165,P06,P06-WP043,P06-A21b,2026-09,109917.00,WORKDAY_SPREAD,YES
CL0165,P06,P06-WP043,P06-A21b,2026-10,12213.00,WORKDAY_SPREAD,YES
CL0166,P06,P06-WP051,P06-A17,2026-05,230000.00,FINAL_GATE,YES
CL0167,P06,P06-WP051,P06-A23,2026-10,207000.00,WORKDAY_FALLBACK,YES
CL0167,P06,P06-WP051,P06-A23,2026-11,138000.00,WORKDAY_FALLBACK,YES
CL0168,P06,P06-WP051,P06-A24,2026-11,115000.00,WORKDAY_SPREAD,YES
