Reporting_Month,Project_ID,Baseline_Monthly_PV_USD,Baseline_Cumulative_PV_USD,Scenario_Monthly_EV_USD,Scenario_Cumulative_EV_USD,Scenario_Monthly_AC_USD,Scenario_Cumulative_AC_USD,Status
2025-04,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P11,112640.00,112640.00,112640.00,112640.00,107008.00,107008.00,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P12,77112.00,199920.00,57120.00,165648.00,63688.80,178728.48,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P01,363093.56,1392556.56,363093.60,1392556.60,364474.94,1393937.94,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P02,340963.42,1683440.00,341682.00,1683440.00,375850.20,1851784.00,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P03,332108.00,1566348.00,332514.00,1468339.60,359115.12,1604076.76,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P04,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P05,284900.00,736300.00,201132.00,544640.00,231301.80,626336.00,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P06,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P07,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P11,72960.00,185600.00,72960.00,185600.00,69312.00,176320.00,SYNTHETIC_ACTUALS_CUTOFF
2025-05,P12,201823.92,401743.92,171594.18,337242.18,181889.82,360618.30,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P01,730133.44,2122690.00,730133.40,2122690.00,755707.80,2149645.74,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P02,1014992.00,2698432.00,1013724.80,2697164.80,1156281.28,3008065.28,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P03,273779.28,1840127.28,285742.80,1754082.40,330043.90,1934120.66,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P04,205425.00,205425.00,115500.00,115500.00,129360.00,129360.00,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P05,302290.00,1038590.00,392385.00,937025.00,451242.75,1077578.75,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P06,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P07,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P11,100800.00,286400.00,100464.00,286064.00,95440.80,271760.80,SYNTHETIC_ACTUALS_CUTOFF
2025-06,P12,253231.86,654975.78,259056.34,596298.52,275456.52,636074.82,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P01,1939392.00,4062082.00,1937260.80,4059950.80,1962835.20,4112480.94,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P02,792000.00,3490432.00,793267.20,3490432.00,872593.92,3880659.20,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P03,408300.70,2248427.98,376940.55,2131022.95,406847.32,2340967.98,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P04,94325.00,299750.00,184250.00,299750.00,210402.50,339762.50,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P05,431280.10,1469870.10,204804.84,1141829.84,241730.46,1319309.21,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P06,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P07,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P11,142080.00,428480.00,142416.00,428480.00,135295.20,407056.00,SYNTHETIC_ACTUALS_CUTOFF
2025-07,P12,277349.18,932324.96,271320.00,867618.52,290169.60,926244.42,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P01,575424.00,4637506.00,576489.60,4636440.40,576489.60,4688970.54,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P02,842688.00,4333120.00,842688.00,4333120.00,926956.80,4807616.00,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P03,456614.59,2705042.57,404426.75,2535449.70,436780.89,2777748.87,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P04,94967.00,394717.00,31570.22,331320.22,36305.74,376068.24,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P05,1395923.65,2865793.75,708835.86,1850665.70,820722.34,2140031.55,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P06,150420.00,150420.00,65274.00,65274.00,70495.92,70495.92,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P07,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P11,460598.32,889078.32,460278.96,888758.96,444930.78,851986.78,SYNTHETIC_ACTUALS_CUTOFF
2025-08,P12,253231.86,1185556.82,260467.20,1128085.72,276095.24,1202339.66,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P01,575424.00,5212930.00,576489.60,5212930.00,576489.60,5265460.14,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P02,266112.00,4599232.00,266112.00,4599232.00,292723.20,5100339.20,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P03,856826.48,3561869.05,676010.30,3211460.00,748968.15,3526717.02,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P04,252495.50,647212.50,171950.64,503270.86,195989.51,572057.75,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P05,939560.81,3805354.56,1480885.69,3331551.39,1703132.42,3843163.97,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P06,288765.00,439185.00,267651.00,332925.00,289063.08,359559.00,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P07,0.00,0.00,12300.00,12300.00,12177.00,12177.00,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P11,681255.15,1570333.47,679179.01,1567937.97,645220.07,1497206.85,SYNTHETIC_ACTUALS_CUTOFF
2025-09,P12,156763.18,1342320.00,214234.28,1342320.00,227088.34,1429428.00,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P01,1069966.00,6282896.00,1069966.00,6282896.00,1069966.00,6335426.14,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P02,779328.00,5378560.00,779328.00,5378560.00,857260.80,5957600.00,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P03,1086055.35,4647924.40,1313311.00,4524771.00,1511879.87,5038596.89,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P04,182630.65,829843.15,181479.14,684750.00,203256.64,775314.39,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P05,1487064.44,5292419.00,1088197.05,4419748.44,1258530.19,5101694.16,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P06,161115.40,600300.40,182160.20,515085.20,195746.31,555305.31,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P07,110700.00,110700.00,117157.50,129457.50,112102.20,124279.20,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P11,442088.64,2012422.11,442088.80,2010026.77,410663.46,1907870.31,SYNTHETIC_ACTUALS_CUTOFF
2025-10,P12,90576.00,1432896.00,57120.00,1399440.00,60547.20,1489975.20,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P01,895104.00,7178000.00,895104.00,7178000.00,895104.00,7230530.14,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P02,1985702.40,7364262.40,1985702.40,7364262.40,2217219.84,8174819.84,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P03,816657.10,5464581.50,939810.50,5464581.50,1036432.14,6075029.03,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P04,557746.50,1387589.65,422235.40,1106985.40,478534.25,1253848.64,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P05,1582531.00,6874950.00,1506607.00,5926355.44,1737260.05,6838954.21,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P06,300495.60,900796.00,289283.20,804368.40,319534.61,874839.92,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P07,128535.00,239235.00,122692.50,252150.00,117784.80,242064.00,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P11,497222.22,2509644.33,496382.15,2506408.92,480883.94,2388754.25,SYNTHETIC_ACTUALS_CUTOFF
2025-11,P12,44676.00,1477572.00,65280.00,1464720.00,68625.60,1558600.80,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P01,222000.00,7400000.00,222000.00,7400000.00,222000.00,7452530.14,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P02,263577.60,7627840.00,263577.60,7627840.00,289935.36,8464755.20,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P03,1871540.00,7336121.50,734183.50,6198765.00,809747.27,6884776.30,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P04,1036041.34,2423630.99,608465.60,1715451.00,685235.23,1939083.87,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P05,1780659.68,8655609.68,1787619.52,7713974.96,2061534.45,8900488.66,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P06,837717.34,1738513.34,501992.30,1306360.70,544538.72,1419378.64,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P07,127988.58,367223.58,149824.65,401974.65,145676.66,387740.66,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P08,122820.00,122820.00,53406.00,53406.00,58212.54,58212.54,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P11,429555.67,2939200.00,432791.08,2939200.00,415183.53,2803937.78,SYNTHETIC_ACTUALS_CUTOFF
2025-12,P12,51408.00,1528980.00,50490.00,1515210.00,53815.20,1612416.00,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P01,0.00,7400000.00,0.00,7400000.00,0.00,7452530.14,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P02,528000.00,8155840.00,528000.00,8155840.00,580800.00,9045555.20,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P03,426300.00,7762421.50,1563656.50,7762421.50,1702603.77,8587380.07,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P04,846899.01,3270530.00,1121793.70,2837244.70,1264001.00,3203084.87,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P05,1038292.52,9693902.20,1374702.04,9088677.00,1630547.78,10531036.44,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P06,499657.82,2238171.16,756553.88,2062914.58,823930.24,2243308.88,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P07,260418.42,627642.00,265642.35,667617.00,255016.66,642757.32,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P08,212173.30,334993.30,148994.00,202400.00,162403.46,220616.00,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P11,145600.00,3084800.00,145600.00,3084800.00,134288.00,2938225.78,SYNTHETIC_ACTUALS_CUTOFF
2026-01,P12,71604.00,1600584.00,66646.80,1581856.80,72022.60,1684438.60,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P01,0.00,7400000.00,0.00,7400000.00,0.00,7452530.14,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P02,644160.00,8800000.00,644160.00,8800000.00,708576.00,9754131.20,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P03,2297840.50,10060262.00,1161040.50,8923462.00,1339894.24,9927274.31,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P04,866571.00,4137101.00,1077023.50,3914268.20,1200695.51,4403780.38,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P05,347732.80,10041635.00,805749.80,9894426.80,937934.27,11468970.71,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P06,470976.94,2709148.10,537232.61,2600147.19,576623.22,2819932.10,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P07,276640.60,904282.60,410464.60,1078081.60,395002.67,1037759.99,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P08,143423.35,478416.65,196590.00,398990.00,214283.10,434899.10,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P09,175500.00,175500.00,152100.00,152100.00,156663.00,156663.00,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P11,86400.00,3171200.00,86400.00,3171200.00,82080.00,3020305.78,SYNTHETIC_ACTUALS_CUTOFF
2026-02,P12,84456.00,1685040.00,103183.20,1685040.00,112311.80,1796750.40,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P01,0.00,7400000.00,0.00,7400000.00,0.00,7452530.14,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P02,0.00,8800000.00,0.00,8800000.00,0.00,9754131.20,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P03,1414313.00,11474575.00,1986056.50,10909518.50,2160154.08,12087428.39,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P04,1197899.00,5335000.00,925548.80,4839817.00,1044042.42,5447822.80,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P05,244200.00,10285835.00,391408.20,10285835.00,451506.93,11920477.64,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P06,346948.90,3056097.00,344877.11,2945024.30,378746.28,3198678.38,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P07,906605.40,1810888.00,757898.40,1835980.00,731899.76,1769659.75,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P08,285169.35,763586.00,215372.00,614362.00,235421.56,670320.66,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P09,164580.00,340080.00,163020.00,315120.00,167910.60,324573.60,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P11,28800.00,3200000.00,28800.00,3200000.00,27360.00,3047665.78,SYNTHETIC_ACTUALS_CUTOFF
2026-03,P12,290495.86,1975535.86,216603.94,1901643.94,229600.16,2026350.56,SYNTHETIC_ACTUALS_CUTOFF
2026-04,P01,0.00,7400000.00,,,,,FUTURE_BASELINE_ONLY
2026-04,P02,0.00,8800000.00,,,,,FUTURE_BASELINE_ONLY
2026-04,P03,1970452.96,13445027.96,,,,,FUTURE_BASELINE_ONLY
2026-04,P04,165000.00,5500000.00,,,,,FUTURE_BASELINE_ONLY
2026-04,P05,481165.00,10767000.00,,,,,FUTURE_BASELINE_ONLY
2026-04,P06,867301.30,3923398.30,,,,,FUTURE_BASELINE_ONLY
2026-04,P07,144976.00,1955864.00,,,,,FUTURE_BASELINE_ONLY
2026-04,P08,305184.92,1068770.92,,,,,FUTURE_BASELINE_ONLY
2026-04,P09,137280.00,477360.00,,,,,FUTURE_BASELINE_ONLY
2026-04,P10,66600.00,66600.00,,,,,FUTURE_BASELINE_ONLY
2026-04,P11,0.00,3200000.00,,,,,FUTURE_BASELINE_ONLY
2026-04,P12,341087.78,2316623.64,,,,,FUTURE_BASELINE_ONLY
2026-05,P01,0.00,7400000.00,,,,,FUTURE_BASELINE_ONLY
2026-05,P02,0.00,8800000.00,,,,,FUTURE_BASELINE_ONLY
2026-05,P03,1292580.37,14737608.33,,,,,FUTURE_BASELINE_ONLY
2026-05,P04,0.00,5500000.00,,,,,FUTURE_BASELINE_ONLY
2026-05,P05,333000.00,11100000.00,,,,,FUTURE_BASELINE_ONLY
2026-05,P06,353390.01,4276788.31,,,,,FUTURE_BASELINE_ONLY
2026-05,P07,708152.00,2664016.00,,,,,FUTURE_BASELINE_ONLY
2026-05,P08,296098.08,1364869.00,,,,,FUTURE_BASELINE_ONLY
2026-05,P09,86666.65,564026.65,,,,,FUTURE_BASELINE_ONLY
2026-05,P10,221260.00,287860.00,,,,,FUTURE_BASELINE_ONLY
2026-05,P11,0.00,3200000.00,,,,,FUTURE_BASELINE_ONLY
2026-05,P12,325583.79,2642207.43,,,,,FUTURE_BASELINE_ONLY
2026-06,P01,0.00,7400000.00,,,,,FUTURE_BASELINE_ONLY
2026-06,P02,0.00,8800000.00,,,,,FUTURE_BASELINE_ONLY
2026-06,P03,1650421.58,16388029.91,,,,,FUTURE_BASELINE_ONLY
2026-06,P04,0.00,5500000.00,,,,,FUTURE_BASELINE_ONLY
2026-06,P05,0.00,11100000.00,,,,,FUTURE_BASELINE_ONLY
2026-06,P06,292239.30,4569027.61,,,,,FUTURE_BASELINE_ONLY
2026-06,P07,325157.00,2989173.00,,,,,FUTURE_BASELINE_ONLY
2026-06,P08,226348.60,1591217.60,,,,,FUTURE_BASELINE_ONLY
2026-06,P09,199749.31,763775.96,,,,,FUTURE_BASELINE_ONLY
2026-06,P10,451215.00,739075.00,,,,,FUTURE_BASELINE_ONLY
2026-06,P11,0.00,3200000.00,,,,,FUTURE_BASELINE_ONLY
2026-06,P12,341087.78,2983295.21,,,,,FUTURE_BASELINE_ONLY
2026-07,P01,0.00,7400000.00,,,,,FUTURE_BASELINE_ONLY
2026-07,P02,0.00,8800000.00,,,,,FUTURE_BASELINE_ONLY
2026-07,P03,480284.59,16868314.50,,,,,FUTURE_BASELINE_ONLY
2026-07,P04,0.00,5500000.00,,,,,FUTURE_BASELINE_ONLY
2026-07,P05,0.00,11100000.00,,,,,FUTURE_BASELINE_ONLY
2026-07,P06,628678.27,5197705.88,,,,,FUTURE_BASELINE_ONLY
2026-07,P07,95667.00,3084840.00,,,,,FUTURE_BASELINE_ONLY
2026-07,P08,209457.60,1800675.20,,,,,FUTURE_BASELINE_ONLY
2026-07,P09,292864.04,1056640.00,,,,,FUTURE_BASELINE_ONLY
2026-07,P10,268484.90,1007559.90,,,,,FUTURE_BASELINE_ONLY
2026-07,P11,0.00,3200000.00,,,,,FUTURE_BASELINE_ONLY
2026-07,P12,170544.79,3153840.00,,,,,FUTURE_BASELINE_ONLY
2026-08,P01,0.00,7400000.00,,,,,FUTURE_BASELINE_ONLY
2026-08,P02,0.00,8800000.00,,,,,FUTURE_BASELINE_ONLY
2026-08,P03,499888.50,17368203.00,,,,,FUTURE_BASELINE_ONLY
2026-08,P04,0.00,5500000.00,,,,,FUTURE_BASELINE_ONLY
2026-08,P05,0.00,11100000.00,,,,,FUTURE_BASELINE_ONLY
2026-08,P06,575173.94,5772879.82,,,,,FUTURE_BASELINE_ONLY
2026-08,P07,972110.00,4056950.00,,,,,FUTURE_BASELINE_ONLY
2026-08,P08,633905.70,2434580.90,,,,,FUTURE_BASELINE_ONLY
2026-08,P09,1098746.30,2155386.30,,,,,FUTURE_BASELINE_ONLY
2026-08,P10,470099.50,1477659.40,,,,,FUTURE_BASELINE_ONLY
2026-08,P11,0.00,3200000.00,,,,,FUTURE_BASELINE_ONLY
2026-08,P12,117504.00,3271344.00,,,,,FUTURE_BASELINE_ONLY
2026-09,P01,0.00,7400000.00,,,,,FUTURE_BASELINE_ONLY
2026-09,P02,0.00,8800000.00,,,,,FUTURE_BASELINE_ONLY
2026-09,P03,991118.00,18359321.00,,,,,FUTURE_BASELINE_ONLY
2026-09,P04,0.00,5500000.00,,,,,FUTURE_BASELINE_ONLY
2026-09,P05,0.00,11100000.00,,,,,FUTURE_BASELINE_ONLY
2026-09,P06,334258.18,6107138.00,,,,,FUTURE_BASELINE_ONLY
2026-09,P07,43050.00,4100000.00,,,,,FUTURE_BASELINE_ONLY
2026-09,P08,840740.50,3275321.40,,,,,FUTURE_BASELINE_ONLY
2026-09,P09,1043774.55,3199160.85,,,,,FUTURE_BASELINE_ONLY
2026-09,P10,909506.60,2387166.00,,,,,FUTURE_BASELINE_ONLY
2026-09,P11,0.00,3200000.00,,,,,FUTURE_BASELINE_ONLY
2026-09,P12,47736.00,3319080.00,,,,,FUTURE_BASELINE_ONLY
2026-10,P01,0.00,7400000.00,,,,,FUTURE_BASELINE_ONLY
